jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,unemployment-rate,nonfarm-payroll,deaths,rpms
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5.8,130634,0.0,39770937146.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5.8,130684,0.0,42845687635.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5.8,130590,0.0,45235069906.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5.7,130587,0.0,45271518493.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,5.7,130501,0.0,34146894752.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,5.7,130628,0.0,39190921883.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,5.9,130615,0.0,36485870121.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,6.0,130472,0.0,41557477625.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5.8,130580,0.0,36379359801.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,5.9,130444,0.0,34208355577.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0,5.9,130232,0.0,42036294617.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,6.0,130177,0.0,39667296207.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,6.1,130196,0.0,41120413371.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,6.3,130194,0.0,44662969306.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,6.2,130191,0.0,48500873911.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6.1,130149,0.0,47165686012.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,6.1,130254,0.0,37006895337.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,6.0,130454,0.0,41708149364.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26,0,5.8,130474,0.0,39577476413.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,5.7,130588,0.0,42921694458.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,5.7,130769,0.0,38377528688.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,5.6,130825,0.0,38862375955.0
